anomaly_type,log_date,sched_time,video_source,type_code,title_raw,duration_seconds,details
rapid_repeat_asset,2026-03-02,20:02:00:00,1,SI,WTIU 30.1 HD BUG,1106.4666666666667,Repeated within 780.0 seconds
rapid_repeat_asset,2026-03-02,01:59:37:28,701,GX,PROMO - LOWER-THIRD,628.0,Repeated within 119.9 seconds
rapid_repeat_asset,2026-03-02,04:59:43:03,701,GX,PROMO - LOWER-THIRD,480.0,Repeated within 18.1 seconds
rapid_repeat_asset,2026-03-02,05:58:35:00,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-02,11:59:08:27,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 20.0 seconds
rapid_repeat_asset,2026-03-02,13:27:38:03,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-02,01:59:38:28,TEXT,TX,COMING THIS MARCH,568.0,Repeated within 119.9 seconds
rapid_repeat_asset,2026-03-03,20:02:00:00,1,SI,WTIU 30.1 HD BUG,990.3333333333334,Repeated within 780.0 seconds
rapid_repeat_asset,2026-03-03,00:58:49:00,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-03,02:59:34:29,701,GX,PROMO - LOWER-THIRD,628.0,Repeated within 150.0 seconds
rapid_repeat_asset,2026-03-03,12:29:39:27,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-03,13:59:35:02,701,GX,PROMO - LOWER-THIRD,628.0,Repeated within 120.0 seconds
rapid_repeat_asset,2026-03-03,18:29:26:11,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-03,22:59:35:04,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 20.0 seconds
rapid_repeat_asset,2026-03-04,20:02:00:00,1,SI,WTIU 30.1 HD BUG,864.0333333333333,Repeated within 780.0 seconds
rapid_repeat_asset,2026-03-04,00:28:21:00,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-04,00:58:19:00,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-04,00:58:49:00,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
rapid_repeat_asset,2026-03-04,05:58:35:00,701,GX,PROMO - LOWER-THIRD,660.0,Repeated within 30.0 seconds
