hour_of_day,events_count,airtime_seconds
0,148,154587.96666666667
1,52,83470.23333333334
2,62,87069.86666666667
3,58,90883.1
4,66,85245.56666666667
5,85,116030.06666666667
6,76,101429.93333333333
7,60,84949.26666666666
8,70,80948.26666666666
9,81,96144.26666666666
10,81,98586.73333333334
11,129,143015.4
12,152,158536.8
13,127,137034.46666666667
14,139,147629.56666666668
15,66,76514.63333333333
16,99,112603.83333333333
17,98,108932.8
18,152,165228.4
19,114,129057.7
20,90,86966.23333333334
21,117,113886.4
22,102,87543.7
23,92,89374.63333333333
