asset_title,content_category,count,total_duration_seconds
WTIU 30.1 HD BUG,Other,282,452602.8
PROMO - LOWER-THIRD,Graphics,151,98608.0
WTIU 30.1 - PREVIOUSLY RECORDED BUG - 10 SECO,Graphics,62,38229.36666666667
WTIU 30.1 MAIN - PH GX,Graphics,62,38229.36666666667
GENERIC OPEN VM PS500056 VM,PublicService,43,15480.0
GENERIC KIDS PROGRAM OPEN,PublicService,32,9600.0
COMING UP NEXT ON WTIU,Text,32,18803.0
AUD - COMING UP NEXT ON WTIU,Audio,30,10649.0
IU JACOBS SCHOOL OF MUSIC - MANSFIELD,Other,17,14280.0
WTIU 30.1 LEGAL ID,Other,16,28800.0
WTIU 30.1 - WEATHER GRAPHIC,Graphics,16,19200.0
WTIU 30.1 - WEATHER AUDIO,Audio,16,19200.0
FILLER - PBS SOCIAL BUMPERS - 5 SEC,Filler,16,4800.0
WEATHER PAGES,Filler,16,19200.0
FILLER - CONFERENCE ON AGING THANK YOU 2025,Filler,15,45000.0
FILLER - JOE HREN - SUSTAINER CHALLENGE MARCH,Filler,13,23400.0
FILLER - PBS PASSPORT AWARENESS,Filler,12,10800.0
FILLER - AMY O. SUSTAINER CHALLENGE MARCH 202,Filler,12,21600.0
FILLER - LYNN SCH - SUSTAINER CHALLENGE MARCH,Filler,12,21600.0
HERALD TIMES - APP FULL,Other,12,10080.0
"ANDERSON MEDICAL - SHOWROOM, SUPPLY",Other,11,9240.0
COMING THIS MARCH,Text,11,6249.0
TONIGHT AT 8,Text,11,6600.0
AUD - TONIGHT AT 8,Audio,11,3960.0
NEWS HEADLINES,Filler,10,12000.0
HD ID - FRENCH LICK INDIANA (2021),ID,10,7038.0
KIDS ID - CUCKOO ID500438 NEW IN 2024,ID,10,6497.0
HD ID - BLOOMFIELD INDIANA (2021),ID,9,5737.0
IU AUDITORIUM - SILK ROAD,Other,9,7560.0
PBS POSITIONING SPOT - LEARNING MEDIA SIZZLE,Filler,9,16299.0
KIDS ID - FISHBOWL ID500440 NEW IN 2024,ID,9,6352.0
HD ID - ANTIQUES ROADSHOW,ID,9,4635.0
FILLER - MARCH PASSPORT SPOT 2026,Filler,8,14400.0
FILLER - MICHAEL ARNOLD. - NATURE/SCIENCE FU,Filler,8,23752.0
HD ID - MARTINSVILLE INDIANA (2021),ID,8,5886.0
KIDS ID - GARDEN ID500441 NEW IN 2024,ID,8,6076.0
KIDS ID - EGYPT ID500439 NEW IN 2024,ID,8,5609.0
FILLER - MEMBERSHIP SUSTAINER LOCAL,Filler,7,24976.0
HD ID - INDIANAPOLIS INDIANA,ID,7,4222.0
FILLER - PBS SOCIAL BUMPERS - 15 SEC,Filler,7,6300.0
KIDS ID - PIPELINE ID500432 NEW IN 2024,ID,7,4895.0
KIDS ID - LAVA ID500433 NEW IN 2024,ID,7,5185.0
HD ID - MITCHELL INDIANA (2021),ID,7,4542.0
KIDS ID - BOWLING ID500442 NEW IN 2024,ID,7,4745.0
"HD ID - SPRING MILL STATE PARK (SPRING, SUMME",ID,7,5353.0
AUD - FRIDAY NIGHT AT 10,Audio,6,2160.0
KIDS ID - GEYSER ID500435 NEW IN 2024,ID,6,4557.0
PROMO - BARBRA STREISAND: TIMELESS - FRI 2200,Promo,6,10800.0
AUD - TONIGHT AT 10,Audio,6,2067.0
FILLER - SCIENCE AND NATURE SIZZLE 2025,Filler,6,360.0
KIDS ID - BUS CHASE ID500434 NEW IN 2024,ID,6,4110.0
FRIDAY NIGHT AT 10,Text,6,3600.0
KIDS ID - CATCH ID500437 NEW IN 2024,ID,6,4419.0
TONIGHT AT 10,Text,6,3507.0
"HD ID - WABASH RIVER (SPRING, SUMMER, FALL)",ID,6,1845.0
FILLER - LOOK AHEAD SIZZLE 2025,Filler,6,360.0
HD ID - COLUMBUS INDIANA (2021),ID,6,4005.0
PROMO - COUNT OF MONTE CRISTO - COMING IN MAR,Promo,6,2368.6666666666665
PROMO - COUNTRY CLASSICS - SAT 1330,Promo,5,7800.0
KIDS ID - BIRD HOUSE ID500436 NEW IN 2024,ID,5,3824.0
HD ID - GREENSBURG,ID,5,3182.0
HD ID - GREENWOOD INDIANA,ID,5,2496.0
PROMO - FORSYTES ON MASTERPIECE - COMING IN M,Promo,5,599.6666666666667
THURSDAY EVENING AT 9,Text,5,3000.0
AUD - THURSDAY EVENING AT 9,Audio,5,1800.0
BONAFIDE BITES - BONAFIDE BITES CATERING,Other,5,4200.0
IU CREDIT UNION INVESTMENT SERVICES - IUCU IN,PublicService,5,4200.0
PROMO - A TEAM THAT WOULDN T BE BEAT - THURS,Promo,5,9000.0
WTIU NEWS BREAK TEASE,Filler,5,6000.0
HD ID - SEYMOUR INDIANA (2021),ID,5,3654.0
FILLER - ARTS & CULTURE SIZZLE 2025,Filler,5,13500.0
AUD - THURSDAY EVENING AT 8,Audio,5,1800.0
KIDS ID - WATER BALLOON ID500431 NEW IN 2024,ID,5,3510.0
EARLY EVENING NEWS BREAK,Filler,5,600.0
KIDS FILLER - MRS. FRED ROGERS,Filler,5,9000.0
SATURDAY AFTERNOON AT 1:30,Text,5,3000.0
FRIDAY EVENING AT 8:30,Text,5,3000.0
HD ID - BROWN COUNTY STATE PARK (FALL),ID,5,2928.0
AUD - SATURDAY AFTERNOON AT 1:30,Audio,5,1800.0
HD ID - BLOOMINGTON INDIANA (2021),ID,5,3042.0
PROMO - TOMMY EMMANUEL CGP: W/TIX - FRI 2030,Promo,5,9000.0
AUD - FRIDAY EVENING AT 8:30,Audio,5,1800.0
THURSDAY EVENING AT 8,Text,5,3000.0
HD ID - STORY INDIANA (2021),ID,5,3415.0
KIDS ID - WATER SLIDE ID500443 NEW IN 2024,ID,4,2901.0
FILLER - AMY O. - DRAMA FUNDING,Filler,4,11876.0
FILLER - VEHICLE DONATION SPOT #1,Filler,4,8996.0
IU CREDIT UNION - MOBILE,PublicService,4,3360.0
FILLER - MEMBERSHIP SPOT - ROKU PASSPORT PACK,Filler,4,14276.0
FILLER - BIRD WOMAN OF ALCATRAZ,Filler,4,720.2666666666667
"FILLER - CAR DONATION SPOT FIL1676 IF YOU DON T DRIVE IT, DONATE IT",Filler,4,7076.0
FILLER - NEWS SIZZLE 2025,Filler,4,240.0
SATURDAY AT NOON,Text,4,2338.0
PROMO - JOHNNY CASH: WE WALK W/TIX - SAT 1500,Promo,4,7200.0
SATURDAY AFTERNOON AT 3,Text,4,2400.0
FILLER - PEGGY AND ZARG INTERSTITIAL SEASON 5,Filler,4,240.0
FILLER - MEMBERSHIP -SUSTAINER (NEWS) - W/ A,Filler,4,9956.0
LATE EVENING NEWS BREAK,Filler,4,480.0
MPI SOLAR MANN PLUMBING - BAL MED,Other,4,3360.0
FILLER - PBS KIDS - BUS CHASE,Filler,4,3476.0
